5.041320000000000245e-01,4.647470000000000212e-01,7.279160000000000075e-01
2.515850000000000031e-01,1.341789999999999927e-01,9.584890000000000354e-01
-3.375899999999999734e-02,1.772340000000000027e-01,9.835890000000000466e-01
-9.064300000000000135e-02,4.449750000000000094e-01,8.909439999999999582e-01
-3.215890000000000137e-01,5.065030000000000365e-01,8.000220000000000109e-01
-1.050370000000000054e-01,5.655810000000000004e-01,8.179760000000000364e-01
2.856670000000000043e-01,4.325809999999999933e-01,8.551419999999999577e-01
1.072899999999999965e-01,4.291619999999999879e-01,8.968329999999999913e-01
2.157900000000000096e-01,3.319849999999999746e-01,9.182709999999999484e-01
9.176900000000000335e-02,3.337049999999999739e-01,9.382000000000000339e-01
1.352510000000000101e-01,4.226599999999999802e-02,9.899099999999999566e-01
-1.411610000000000087e-01,3.653569999999999873e-01,9.201019999999999754e-01
